estimator,training_sample_size,mean,bias,variance,mse,std,scaled_variance,min,max
DM,100,0.6601676326169208,0.00016763261692065434,0.004453906456376931,0.0044539345570711875,0.06673759402598306,0.8907812912753862,0.4144408730158732,0.8705826330532216
IPS,100,0.6589883333333334,-0.001011666666666744,0.005959924262981862,0.005960947732426307,0.0772005457427722,1.1919848525963723,0.3990476190476191,0.9538095238095241
SNIPS,100,0.6582048557498831,-0.0017951442501170645,0.0021953146585272803,0.002198537201406008,0.04685418506950345,0.43906293170545607,0.4655555555555555,0.8130337078651686
DR,100,0.6597600081648543,-0.00023999183514589184,0.0033047328297792834,0.0033047904258602205,0.05748680570165021,0.6609465659558567,0.4538832772166105,1.4514291021411228
DM,200,0.6585648647257314,-0.0014351352742687506,0.002070179367258545,0.002072238980513995,0.045499223809407394,0.414035873451709,0.4945368720889455,0.800711690862162
IPS,200,0.6589883333333334,-0.001011666666666744,0.005959924262981862,0.005960947732426307,0.0772005457427722,1.1919848525963723,0.3990476190476191,0.9538095238095241
SNIPS,200,0.6582048557498831,-0.0017951442501170645,0.0021953146585272803,0.002198537201406008,0.04685418506950345,0.43906293170545607,0.4655555555555555,0.8130337078651686
DR,200,0.658987996644056,-0.001012003355944091,0.002349053023558131,0.002350077174350573,0.0484670302737658,0.46981060471162617,0.4506683010546915,0.8215352832159372
DM,500,0.6599108089182791,-8.919108172100731e-05,0.0008341234911857779,0.0008341314462348364,0.028881196152267963,0.1668246982371556,0.551348938826467,0.7463340321546845
IPS,500,0.6589883333333334,-0.001011666666666744,0.005959924262981862,0.005960947732426307,0.0772005457427722,1.1919848525963723,0.3990476190476191,0.9538095238095241
SNIPS,500,0.6582048557498831,-0.0017951442501170645,0.0021953146585272803,0.002198537201406008,0.04685418506950345,0.43906293170545607,0.4655555555555555,0.8130337078651686
DR,500,0.658861783049074,-0.0011382169509261963,0.0021253407465499138,0.00212663628437729,0.04610141805356874,0.42506814930998277,0.48232432063496034,0.8166489584288129
DM,1000,0.6602397663770783,0.0002397663770781211,0.00043703953750557826,0.0004370970254211555,0.020905490606670254,0.08740790750111566,0.592210212554055,0.726017315809421
IPS,1000,0.6589883333333334,-0.001011666666666744,0.005959924262981862,0.005960947732426307,0.0772005457427722,1.1919848525963723,0.3990476190476191,0.9538095238095241
SNIPS,1000,0.6582048557498831,-0.0017951442501170645,0.0021953146585272803,0.002198537201406008,0.04685418506950345,0.43906293170545607,0.4655555555555555,0.8130337078651686
DR,1000,0.6588658145050629,-0.0011341854949372676,0.002067768216255006,0.0020690545929919323,0.04547271947283344,0.4135536432510012,0.4868488371263996,0.8055569449177982
DM,5000,0.6603536430646234,0.0003536430646232658,8.168697913936337e-05,8.181204255651945e-05,0.009038084926540764,0.016337395827872674,0.6241644712966518,0.6934262718283122
IPS,5000,0.6589883333333334,-0.001011666666666744,0.005959924262981862,0.005960947732426307,0.0772005457427722,1.1919848525963723,0.3990476190476191,0.9538095238095241
SNIPS,5000,0.6582048557498831,-0.0017951442501170645,0.0021953146585272803,0.002198537201406008,0.04685418506950345,0.43906293170545607,0.4655555555555555,0.8130337078651686
DR,5000,0.6590995495572896,-0.0009004504427105875,0.0020474493240426714,0.0020482601350424487,0.045248749419654365,0.4094898648085343,0.4841370097289821,0.8056012689404216
